County,Primary Cities,2024 Population,Active Listings,4COP Active,3PS Active,Disclosed Asking Prices,Median Asking Price,Lowest Asking Price,Highest Asking Price,4COP Median Ask,3PS Median Ask,2026 New Quota Licenses,Snapshot Generated At
Pinellas County,St. Petersburg | Clearwater | Largo,965870,8,8,0,8,497000,475000,525000,497000,,0,2026-08-28T18:36:46.067Z
Polk County,Lakeland | Winter Haven,852878,6,6,0,6,160000,105000,245000,160000,,5,2026-08-28T18:36:46.067Z
Putnam County,Palatka | Crescent City | Interlachen,77301,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Santa Rosa County,Milton | Gulf Breeze | Navarre,207653,4,4,0,4,779500,630000,995000,779500,,1,2026-08-28T18:36:46.067Z
Sarasota County,Sarasota | Venice | North Port,476604,6,6,0,5,560000,539000,750000,560000,,1,2026-08-28T18:36:46.067Z
Seminole County,Sanford | Lake Mary | Altamonte Springs | Oviedo | Winter Springs,494605,4,4,0,4,272450,250000,290000,272450,,0,2026-08-28T18:36:46.067Z
St. Johns County,St. Augustine | Ponte Vedra Beach,334928,3,3,0,3,700000,625000,765000,700000,,3,2026-08-28T18:36:46.067Z
St. Lucie County,Port St. Lucie | Fort Pierce,390670,11,11,0,11,294995,260000,350000,294995,,1,2026-08-28T18:36:46.067Z
Sumter County,The Villages | Wildwood | Bushnell,154693,1,1,0,1,349000,349000,349000,349000,,1,2026-08-28T18:36:46.067Z
Suwannee County,Live Oak | Branford,47536,0,0,0,0,,,,,,1,2026-08-28T18:36:46.067Z
Taylor County,Perry | Steinhatchee,21843,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Union County,Lake Butler,15738,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Volusia County,Daytona Beach | New Smyrna Beach | Ormond Beach | Port Orange | DeLand,602772,3,3,0,3,420000,395000,599000,420000,,2,2026-08-28T18:36:46.067Z
Wakulla County,Crawfordville | St. Marks | Sopchoppy,37115,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
Walton County,DeFuniak Springs | Santa Rosa Beach | Freeport,89666,0,0,0,0,,,,,,1,2026-08-28T18:36:46.067Z
Washington County,Chipley | Vernon,26503,0,0,0,0,,,,,,0,2026-08-28T18:36:46.067Z
